State,Year,Population
Alabama,1980,3893888
Alabama,1990,4040587
Alabama,2000,4447100
Alabama,2010,4779736
Alaska,1980,401851
Alaska,1990,550043
Alaska,2000,626932
Alaska,2010,710231
Arizona,1980,2718215
Arizona,1990,3665228
Arizona,2000,5130632
Arizona,2010,6392017
Arkansas,1980,2286435
Arkansas,1990,2350725
Arkansas,2000,2673400
Arkansas,2010,2915918
California,1980,23667902
California,1990,29760021
California,2000,33871648
California,2010,37253956
Colorado,1980,2889964
Colorado,1990,3294394
Colorado,2000,4301261
Colorado,2010,5029196
Connecticut,1980,3107576
Connecticut,1990,3287116
Connecticut,2000,3405565
Connecticut,2010,3574097
Delaware,1980,594338
Delaware,1990,666168
Delaware,2000,783600
Delaware,2010,897934
District of Columbia,1980,638333
District of Columbia,1990,606900
District of Columbia,2000,572059
District of Columbia,2010,601723
Florida,1980,9746324
Florida,1990,12937926
Florida,2000,15982378
Florida,2010,18801310
Georgia,1980,5463105
Georgia,1990,6478216
Georgia,2000,8186453
Georgia,2010,9687653
Hawaii,1980,964691
Hawaii,1990,1108229
Hawaii,2000,1211537
Hawaii,2010,1360301
Idaho,1980,943935
Idaho,1990,1006749
Idaho,2000,1293953
Idaho,2010,1567582
Illinois,1980,11426518
Illinois,1990,11430602
Illinois,2000,12419293
Illinois,2010,12830632
Indiana,1980,5490224
Indiana,1990,5544159
Indiana,2000,6080485
Indiana,2010,6483802
Iowa,1980,2913808
Iowa,1990,2776755
Iowa,2000,2926324
Iowa,2010,3046355
Kansas,1980,2363679
Kansas,1990,2477574
Kansas,2000,2688418
Kansas,2010,2853118
Kentucky,1980,3660777
Kentucky,1990,3685296
Kentucky,2000,4041769
Kentucky,2010,4339367
Louisiana,1980,4205900
Louisiana,1990,4219973
Louisiana,2000,4468976
Louisiana,2010,4533372
Maine,1980,1124660
Maine,1990,1227928
Maine,2000,1274923
Maine,2010,1328361
Maryland,1980,4216975
Maryland,1990,4781468
Maryland,2000,5296486
Maryland,2010,5773552
Massachusetts,1980,5737037
Massachusetts,1990,6016425
Massachusetts,2000,6349097
Massachusetts,2010,6547629
Michigan,1980,9262078
Michigan,1990,9295297
Michigan,2000,9938444
Michigan,2010,9883640
Minnesota,1980,4075970
Minnesota,1990,4375099
Minnesota,2000,4919479
Minnesota,2010,5303925
Mississippi,1980,2520638
Mississippi,1990,2573216
Mississippi,2000,2844658
Mississippi,2010,2967297
Missouri,1980,4916686
Missouri,1990,5117073
Missouri,2000,5595211
Missouri,2010,5988927
Montana,1980,786690
Montana,1990,799065
Montana,2000,902195
Montana,2010,989415
Nebraska,1980,1569825
Nebraska,1990,1578385
Nebraska,2000,1711263
Nebraska,2010,1826341
Nevada,1980,800493
Nevada,1990,1201833
Nevada,2000,1998257
Nevada,2010,2700551
New Hampshire,1980,920610
New Hampshire,1990,1109252
New Hampshire,2000,1235786
New Hampshire,2010,1316470
New Jersey,1980,7364823
New Jersey,1990,7730188
New Jersey,2000,8414350
New Jersey,2010,8791894
New Mexico,1980,1302894
New Mexico,1990,1515069
New Mexico,2000,1819046
New Mexico,2010,2059179
New York,1980,17558072
New York,1990,17990455
New York,2000,18976457
New York,2010,19378102
North Carolina,1980,5881766
North Carolina,1990,6628637
North Carolina,2000,8049313
North Carolina,2010,9535483
North Dakota,1980,652717
North Dakota,1990,638800
North Dakota,2000,642200
North Dakota,2010,672591
Ohio,1980,10797630
Ohio,1990,10847115
Ohio,2000,11353140
Ohio,2010,11536504
Oklahoma,1980,3025290
Oklahoma,1990,3145585
Oklahoma,2000,3450654
Oklahoma,2010,3751351
Oregon,1980,2633105
Oregon,1990,2842321
Oregon,2000,3421399
Oregon,2010,3831074
Pennsylvania,1980,11863895
Pennsylvania,1990,11881643
Pennsylvania,2000,12281054
Pennsylvania,2010,12702379
Rhode Island,1980,947154
Rhode Island,1990,1003464
Rhode Island,2000,1048319
Rhode Island,2010,1052567
South Carolina,1980,3121820
South Carolina,1990,3486703
South Carolina,2000,4012012
South Carolina,2010,4625364
South Dakota,1980,690768
South Dakota,1990,696004
South Dakota,2000,754844
South Dakota,2010,814180
Tennessee,1980,4591120
Tennessee,1990,4877185
Tennessee,2000,5689283
Tennessee,2010,6346105
Texas,1980,14229191
Texas,1990,16986510
Texas,2000,20851820
Texas,2010,25145561
Utah,1980,1461037
Utah,1990,1722850
Utah,2000,2233169
Utah,2010,2763885
Vermont,1980,511456
Vermont,1990,562758
Vermont,2000,608827
Vermont,2010,625741
Virginia,1980,5346818
Virginia,1990,6187358
Virginia,2000,7078515
Virginia,2010,8001024
Washington,1980,4132156
Washington,1990,4866692
Washington,2000,5894121
Washington,2010,6724540
West Virginia,1980,1949644
West Virginia,1990,1793477
West Virginia,2000,1808344
West Virginia,2010,1852994
Wisconsin,1980,4705767
Wisconsin,1990,4891769
Wisconsin,2000,5363675
Wisconsin,2010,5686986
Wyoming,1980,469557
Wyoming,1990,453588
Wyoming,2000,493782
Wyoming,2010,563626
