State,TotalHomicide,Rank
Alabama,11376,20.0
Alaska,1617,39.0
Arizona,12871,17.0
Arkansas,6947,24.0
California,99783,1.0
Colorado,6593,25.0
Connecticut,4896,31.0
Delaware,1179,43.0
District of Columbia,7115,23.0
Florida,37164,4.0
Georgia,21088,8.0
Hawaii,1338,40.0
Idaho,1150,44.0
Illinois,25871,6.0
Indiana,11463,19.0
Iowa,1749,38.0
Kansas,3085,35.0
Kentucky,6554,26.0
Louisiana,19629,10.0
Maine,869,45.0
Maryland,17312,12.0
Massachusetts,6036,29.0
Michigan,28448,5.0
Minnesota,3975,34.0
Mississippi,6546,27.0
Missouri,14832,15.0
Montana,601,48.0
Nebraska,1331,41.0
Nevada,5553,30.0
New Hampshire,655,46.0
New Jersey,14132,16.0
New Mexico,4272,32.0
New York,49268,3.0
North Carolina,20390,9.0
North Dakota,308,51.0
Ohio,19158,11.0
Oklahoma,8809,21.0
Oregon,4217,33.0
Pennsylvania,24236,7.0
Rhodes Island,1211,42.0
South Carolina,11698,18.0
South Dakota,442,49.0
Tennessee,14930,14.0
Texas,62095,2.0
Utah,2033,37.0
Vermont,412,50.0
Virginia,15520,13.0
Washington,7815,22.0
West Virginia,3061,36.0
Wisconsin,6191,28.0
Wyoming,630,47.0
